"gene","original","C","N","class.error"
"ABCA1","C",17,15,0.46875
"-","N",12,19,0.387096774193548
"ABCB1","C",20,13,0.393939393939394
"-","N",14,19,0.424242424242424
"ABCG1","C",27,6,0.181818181818182
"-","N",7,25,0.21875
"ADRA2C","C",19,14,0.424242424242424
"-","N",15,17,0.46875
"ALDOA","C",19,14,0.424242424242424
"-","N",10,22,0.3125
"ALOX15","C",21,11,0.34375
"-","N",15,17,0.46875
"AMOTL2","C",17,15,0.46875
"-","N",19,14,0.575757575757576
"APOA1","C",27,6,0.181818181818182
"-","N",7,24,0.225806451612903
"ATF3","C",25,8,0.242424242424242
"-","N",12,19,0.387096774193548
"BAX","C",22,7,0.241379310344828
"-","N",13,16,0.448275862068966
"BCL2","C",18,15,0.454545454545455
"-","N",18,12,0.6
"CDKN1A","C",18,14,0.4375
"-","N",9,22,0.290322580645161
"CDKN2B-AS1","C",19,10,0.344827586206897
"-","N",7,21,0.25
"CTGF","C",19,13,0.40625
"-","N",14,18,0.4375
"E2F6","C",23,10,0.303030303030303
"-","N",8,24,0.25
"ESR1","C",25,7,0.21875
"-","N",9,23,0.28125
"ESR2","C",23,10,0.303030303030303
"-","N",10,23,0.303030303030303
"F7","C",22,11,0.333333333333333
"-","N",11,21,0.34375
"FGF2","C",24,9,0.272727272727273
"-","N",8,21,0.275862068965517
"FOXP3","C",23,8,0.258064516129032
"-","N",10,15,0.4
"GALNT2","C",22,11,0.333333333333333
"-","N",12,20,0.375
"GCK","C",22,10,0.3125
"-","N",11,21,0.34375
"HMGCR","C",19,14,0.424242424242424
"-","N",17,15,0.53125
"ICAM2","C",24,9,0.272727272727273
"-","N",11,21,0.34375
"KLF2","C",17,15,0.46875
"-","N",9,22,0.290322580645161
"LCK","C",19,14,0.424242424242424
"-","N",7,25,0.21875
"LDLR","C",19,14,0.424242424242424
"-","N",16,16,0.5
"LPA","C",20,13,0.393939393939394
"-","N",10,21,0.32258064516129
"MCPH1","C",25,7,0.21875
"-","N",17,14,0.548387096774194
"MIA3","C",20,13,0.393939393939394
"-","N",11,21,0.34375
"NOS3","C",21,11,0.34375
"-","N",8,24,0.25
"NR3C1","C",18,15,0.454545454545455
"-","N",13,19,0.40625
"P2RY12","C",18,12,0.4
"-","N",10,20,0.333333333333333
"PECAM1","C",18,13,0.419354838709677
"-","N",13,17,0.433333333333333
"PHACTR1","C",21,12,0.363636363636364
"-","N",13,19,0.40625
"PLA2G7","C",23,10,0.303030303030303
"-","N",11,21,0.34375
"TERT","C",18,15,0.454545454545455
"-","N",11,21,0.34375
"TFPI","C",23,10,0.303030303030303
"-","N",15,18,0.454545454545455
"TIMP3","C",20,13,0.393939393939394
"-","N",14,18,0.4375
"TMPO","C",20,12,0.375
"TMPO","N",9,25,0.264705882352941
